,fold,sampler,model,precision,recall,f1_score,auc_roc,auc_pr,gmean,balanced_accuracy,confusion_matrix,training_time,fold_time
20,3,None,XGBoost,0.9090909090909091,0.8163265306122449,0.8602150537634409,0.9696736194081944,0.8008832958043606,0.9034443438469144,0.9080929207938737,"[[56855     8]
 [   18    80]]",2.2066211700439453,203.57988262176514
21,3,None,XGBoost_b,0.9111111111111111,0.8367346938775511,0.8723404255319149,0.9942231363818588,0.8706880276638594,0.9146676852768475,0.9182970024265268,"[[56855     8]
 [   16    82]]",2.0405704975128174,203.57988262176514
22,3,Random OverSampling,XGBoost,0.9431818181818182,0.8469387755102041,0.8924731182795699,0.9921180050727006,0.8672640535467808,0.9202523043390706,0.9234254224349466,"[[56858     5]
 [   15    83]]",3.007455348968506,203.57988262176514
23,3,Random OverSampling,XGBoost_b,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.9731792704771618,0.855336617396429,0.9146033321073467,0.918226657914278,"[[56847    16]
 [   16    82]]",3.5982203483581543,203.57988262176514
24,3,SMOTE,XGBoost,0.7567567567567568,0.8571428571428571,0.8038277511961722,0.9834304578099815,0.8649945258421923,0.9256002721982195,0.928334015842589,"[[56836    27]
 [   14    84]]",4.553624391555786,203.57988262176514
25,3,SMOTE,XGBoost_b,0.4883720930232558,0.8571428571428571,0.6222222222222222,0.968601224496974,0.8467672272143967,0.925103432393463,0.9277976389366924,"[[56775    88]
 [   14    84]]",4.186838626861572,203.57988262176514
26,3,ADASYN,XGBoost,0.6614173228346457,0.8571428571428571,0.7466666666666667,0.9889268406305597,0.8772973065679752,0.925469979366465,0.9281933268180915,"[[56820    43]
 [   14    84]]",3.8544585704803467,203.57988262176514
27,3,ADASYN,XGBoost_b,0.4368421052631579,0.8469387755102041,0.5763888888888888,0.9698412259756444,0.8616186904868156,0.9194264938085808,0.9225285299037752,"[[56756   107]
 [   15    83]]",3.564544677734375,203.57988262176514
28,3,SMOTETomek,XGBoost,0.7567567567567568,0.8571428571428571,0.8038277511961722,0.9834304578099815,0.8649945258421923,0.9256002721982195,0.928334015842589,"[[56836    27]
 [   14    84]]",4.364346265792847,203.57988262176514
29,3,SMOTETomek,XGBoost_b,0.4883720930232558,0.8571428571428571,0.6222222222222222,0.968601224496974,0.8467672272143967,0.925103432393463,0.9277976389366924,"[[56775    88]
 [   14    84]]",4.208288192749023,203.57988262176514
30,4,None,XGBoost,0.9047619047619048,0.7755102040816326,0.8351648351648352,0.9279287273708703,0.7879660775817611,0.880568622145675,0.8876847575285676,"[[56855     8]
 [   22    76]]",2.4063456058502197,202.1352641582489
31,4,None,XGBoost_b,0.927710843373494,0.7857142857142857,0.850828729281768,0.969534007085415,0.8525916974110967,0.8863584938849476,0.8928043844729563,"[[56857     6]
 [   21    77]]",2.385512113571167,202.1352641582489
32,4,Random OverSampling,XGBoost,0.9069767441860465,0.7959183673469388,0.8478260869565217,0.9605139384420915,0.8555242723472772,0.8920798116582714,0.8978888391612206,"[[56855     8]
 [   20    78]]",3.8115532398223877,202.1352641582489
33,4,Random OverSampling,XGBoost_b,0.8586956521739131,0.8061224489795918,0.8315789473684211,0.9584617449674064,0.8338674718367087,0.8977405825379131,0.9029469146573917,"[[56850    13]
 [   19    79]]",3.83957839012146,202.1352641582489
34,4,SMOTE,XGBoost,0.75,0.826530612244898,0.7864077669902912,0.9800071744224482,0.8469185198936282,0.9089214237043008,0.9130278933936096,"[[56836    27]
 [   17    81]]",5.353477478027344,202.1352641582489
35,4,SMOTE,XGBoost_b,0.5290322580645161,0.8367346938775511,0.6482213438735178,0.9697831738080105,0.8273210594487249,0.914144684644322,0.9177254532645058,"[[56790    73]
 [   16    82]]",3.63785982131958,202.1352641582489
36,4,ADASYN,XGBoost,0.6923076923076923,0.826530612244898,0.7534883720930232,0.9750664594135492,0.8423924617848348,0.9088494568463497,0.9129487558173297,"[[56827    36]
 [   17    81]]",3.0197622776031494,202.1352641582489
37,4,ADASYN,XGBoost_b,0.47093023255813954,0.826530612244898,0.6,0.9725996460522551,0.8238245298871175,0.9084095354982911,0.9124651372956196,"[[56772    91]
 [   17    81]]",4.567272186279297,202.1352641582489
38,4,SMOTETomek,XGBoost,0.75,0.826530612244898,0.7864077669902912,0.9800071744224482,0.8469185198936282,0.9089214237043008,0.9130278933936096,"[[56836    27]
 [   17    81]]",3.745342493057251,202.1352641582489
39,4,SMOTETomek,XGBoost_b,0.5290322580645161,0.8367346938775511,0.6482213438735178,0.9697831738080105,0.8273210594487249,0.914144684644322,0.9177254532645058,"[[56790    73]
 [   16    82]]",3.5431480407714844,202.1352641582489
40,5,None,XGBoost,0.8314606741573034,0.7551020408163265,0.7914438502673797,0.9221646047230598,0.7411918406653808,0.8688514550822133,0.8774191244476969,"[[56848    15]
 [   24    74]]",1.7162644863128662,203.08978581428528
41,5,None,XGBoost_b,0.851063829787234,0.8163265306122449,0.8333333333333334,0.977082403930392,0.8180690814708174,0.9033966716185832,0.9080401624096872,"[[56849    14]
 [   18    80]]",1.7336797714233398,203.08978581428528
42,5,Random OverSampling,XGBoost,0.9,0.826530612244898,0.8617021276595744,0.9751420977092453,0.8320135793178457,0.909065340328268,0.9131861685461692,"[[56854     9]
 [   17    81]]",2.9342048168182373,203.08978581428528
43,5,Random OverSampling,XGBoost_b,0.7961165048543689,0.8367346938775511,0.8159203980099502,0.9805975658645358,0.8180357825911626,0.9145631090769288,0.9181826925941226,"[[56842    21]
 [   16    82]]",3.1496400833129883,203.08978581428528
44,5,SMOTE,XGBoost,0.675,0.826530612244898,0.7431192660550459,0.9734718641690536,0.8201002114340595,0.9088254666272959,0.9129223766252363,"[[56824    39]
 [   17    81]]",3.932255268096924,203.08978581428528
45,5,SMOTE,XGBoost_b,0.48255813953488375,0.8469387755102041,0.6148148148148148,0.9824627721408455,0.8090531860186255,0.9195722789672085,0.9226868050563348,"[[56774    89]
 [   15    83]]",3.8597257137298584,203.08978581428528
46,5,ADASYN,XGBoost,0.6349206349206349,0.8163265306122449,0.7142857142857143,0.9820038280335084,0.8139738462651211,0.9031423772354397,0.9077587843606922,"[[56817    46]
 [   18    80]]",3.660240650177002,203.08978581428528
47,5,ADASYN,XGBoost_b,0.4426229508196721,0.826530612244898,0.5765124555160143,0.9727914784083622,0.7678203211906606,0.9083215256609765,0.9123684135912775,"[[56761   102]
 [   17    81]]",5.267911195755005,203.08978581428528
48,5,SMOTETomek,XGBoost,0.675,0.826530612244898,0.7431192660550459,0.9734718641690536,0.8201002114340595,0.9088254666272959,0.9129223766252363,"[[56824    39]
 [   17    81]]",4.257127523422241,203.08978581428528
49,5,SMOTETomek,XGBoost_b,0.48255813953488375,0.8469387755102041,0.6148148148148148,0.9824627721408455,0.8090531860186255,0.9195722789672085,0.9226868050563348,"[[56774    89]
 [   15    83]]",4.748965263366699,203.08978581428528
