,fold,sampler,model,precision,recall,f1_score,auc_roc,auc_pr,gmean,balanced_accuracy,confusion_matrix,training_time,fold_time
114,2,ENN,DecisionTree,0.7017543859649122,0.8080808080808081,0.7511737089201878,0.9037414398633468,0.5674078069885801,0.8986643609564368,0.9037414398633469,"[[56829    34]
 [   19    80]]",22.652348518371582,925.5749802589417
115,2,ENN,RandomForest,0.9642857142857143,0.8181818181818182,0.8852459016393442,0.9704312349529801,0.87896509327463,0.9045101725415365,0.9090645298988158,"[[56860     3]
 [   18    81]]",4.77555513381958,925.5749802589417
116,2,ENN,XGBoost,0.9545454545454546,0.8484848484848485,0.8983957219251337,0.9789913271966629,0.8858124382313796,0.9210999740701502,0.9242072519862998,"[[56859     4]
 [   15    84]]",2.1140291690826416,925.5749802589417
117,2,ENN,LightGBM,0.3803680981595092,0.6262626262626263,0.4732824427480916,0.7758455241616522,0.3008744049815633,0.790664441626964,0.8122432136641728,"[[56762   101]
 [   37    62]]",2.7465286254882812,925.5749802589417
118,2,SMOTEENN,LogisticRegression,0.057387057387057384,0.9494949494949495,0.10823258491652274,0.9825202768944745,0.7365151587880268,0.9611000626784251,0.9611709838834683,"[[55319  1544]
 [    5    94]]",0.30989885330200195,925.5749802589417
119,2,SMOTEENN,KNN,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.9439054917925186,0.5817353313577476,0.9419879561965836,0.9435739311053664,"[[56764    99]
 [   11    88]]",3.380674362182617,925.5749802589417
120,2,SMOTEENN,SVM,0.08937437934458789,0.9090909090909091,0.162748643761302,0.9660212912943159,0.6502093722425165,0.9457433442761869,0.9464822148289429,"[[55946   917]
 [    9    90]]",81.89160799980164,925.5749802589417
121,2,SMOTEENN,DecisionTree,0.39622641509433965,0.8484848484848485,0.5401929260450161,0.9231169120464444,0.3364554432273859,0.9200950431312522,0.9231169120464444,"[[56735   128]
 [   15    84]]",37.495978355407715,925.5749802589417
122,2,SMOTEENN,RandomForest,0.7981651376146789,0.8787878787878788,0.8365384615384616,0.9807688584133725,0.894137651737691,0.9372555042847227,0.9392004919852553,"[[56841    22]
 [   12    87]]",5.461379051208496,925.5749802589417
123,2,SMOTEENN,XGBoost,0.7073170731707317,0.8787878787878788,0.7837837837837838,0.9757483741269332,0.8887735969525873,0.9371400736525719,0.93907738908882,"[[56827    36]
 [   12    87]]",4.2409892082214355,925.5749802589417
